,instance,hate_count,url_count,mentions_count,hashtag_count,hate_avg,url_avg,mentions_avg,hashtag_avg,users,posts,nsfw,media_removal,fed_time_rem,reject,quaran_inst,accept,avatar,banner,followers_only,report,reject_deletes,hate_perc,url_perc,mentions_perc,hash_perc,followers_count,following_count,reblogs_count,replies_count,active_halfyear,active_month,hash_ftr,hash_rej,hash_sen,users_tr,posts_tr,hate_tr,url_tr,blocked
53,burn.thefire.work,986.0,371.0,350.0,326.0,0.4401785714285714,0.165625,0.1563197856185797,0.1456007146047342,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0716517857142857,0.0669642857142857,0.0640625,0.0392857142857142,0,1,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.5524632891554089,3.154855598241423,2.680581308345858,0
54,butt.fan,4308.0,606.0,2712.0,709.0,1.4896265560165975,0.2095435684647303,0.9380837080594948,0.2452438602559668,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2294260027662517,0.100103734439834,0.2627939142461964,0.0727869986168741,467035,1331,2,22,0.0,0.0,0.0,0.0,0.0,1.0,1.7320508075688772,4.033783784123534,2.909011494931812,0
55,bydons.ddns.net,19850.0,1590.0,9133.0,6026.0,1.8797348484848484,0.1505681818181818,0.8649493323231366,0.5706979827635192,2.0,645.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2764204545454545,0.0699337121212121,0.2320549242424242,0.0883996212121212,1457,261,6,22,0.0,0.0,0.0,0.0,0.0,1.122462048309373,2.9394085455600907,5.203474355082344,3.416380130659807,0
56,cachapa.moe,122079.0,7152.0,138115.0,11108.0,1.429513226150189,0.0837480532558929,1.6173095388650789,0.1300733038244455,3.0,619.0,1.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2156758275858031,0.0394969496129931,0.2893242309628918,0.0559842621107975,20009,7577,18,1,0.0,0.0,0.0,0.0,1.0,1.2009369551760027,2.919320485578992,7.04325632356255,4.389394188389688,0
57,caonima.wtf,25277.0,3265.0,23502.0,4481.0,0.865798938174345,0.1118342181880459,0.8050284304994176,0.153490443241762,4.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1406576468573386,0.0508648741222812,0.2223839698578524,0.0489981161157732,381959,27511,8,30,0.0,0.0,0.0,0.0,1.0,1.2599210498948732,2.641880399811636,5.417358644608078,3.851653385732775,0
58,catgirl.science,156903.0,8056.0,69694.0,8832.0,1.3970901190486789,0.0717319490325625,0.6205723647890584,0.0786422809110822,192.0,73412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2354572733667536,0.0330923272814695,0.255318012234322,0.0203771804072764,392547,8225,48,91,0.0,0.0,0.0,0.0,0.0,2.401873910352005,6.470847666394072,7.344099314915341,4.477338294039051,0
59,cawfee.club,30102.0,2292.0,27522.0,2837.0,1.3237467018469655,0.1007915567282322,1.2103434627732088,0.1247636219710629,725.0,80213.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2133245382585752,0.0429419525065963,0.3090589270008795,0.0351583113456464,469030,27843,33,33,0.0,0.0,0.0,0.0,1.0,2.997250222406408,6.56710751605449,5.577409840222772,3.631079594353982,1
60,cb.janusworx.com,6868.0,483.0,3146.0,808.0,1.9243485570187728,0.1353320257775287,0.8817264573991032,0.2264573991031389,2.0,2583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2905575791538246,0.0619221070327823,0.2929391986550854,0.0540767722050994,18193,13028,2,12,0.0,0.0,0.0,0.0,0.0,1.122462048309373,3.704140070885213,4.359851673761978,2.801073609372742,0
61,cdrom.tokyo,201124.0,14050.0,173443.0,22126.0,1.1984721452534606,0.0837221497226145,1.0335307717976832,0.1318467845735806,261.0,71127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2057032362633106,0.0376749673751765,0.2994482084651734,0.0331164303973971,418005,28141,19,86,0.0,0.0,0.0,0.0,0.0,2.527978743660497,6.4368355712077525,7.654391116928019,4.912237852733768,0
62,ceske.site,1198.0,47.0,382.0,126.0,3.048346055979644,0.1195928753180661,0.9744897959183674,0.3214285714285714,9.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3396946564885496,0.0534351145038167,0.3117048346055979,0.0661577608142493,360,317,2,4,0.0,0.0,0.0,0.0,0.0,1.4422495703074083,2.4321763298948365,3.2589382857393585,1.8996910486020335,0
63,chaconne.club,55.0,8.0,30.0,3.0,1.375,0.2,0.75,0.075,3.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.1,0.2875,0.0375,423427,12416,1,2,0.0,0.0,0.0,0.0,0.0,1.2009369551760027,2.498049532966813,1.9501160121288657,1.414213562373095,0
64,chads.usethetools.org,20623.0,5555.0,7406.0,4354.0,1.3601767576836827,0.3663764674845007,0.4884902051315877,0.2871842226766044,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238260123994196,0.1565756496504419,0.1733940113441498,0.0856417359187442,10948,447,3,0,0.0,0.0,0.0,0.0,1.0,1.2009369551760027,0.0,5.236711401263864,4.208370916101834,0
65,charade.social,2.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.122462048309373,1.0,0
66,charlestown.social,102348.0,11719.0,75716.0,6794.0,1.858304887791416,0.2127787057883652,1.3747798456650022,0.123359055832955,14.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2655875517466773,0.0878785677972256,0.3022278306340329,0.0358595395453555,11862,3118,10,2,0.0,0.0,0.0,0.0,1.0,1.5524632891554089,2.833924614075003,6.839324766073608,4.7659384103326,0
